feelings,comments,questions
2,yeetusdeletus,tp002
1,-,tp002
1,follow @###########_ and @########.###### on insta :-),tp002
1,and follow @###### @##########_and @########.###### on insta :),tp002
1,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
1,If this is happening now im excited for what the future oceans and lakes could look like,tp002
1,be hopeful,tp002
2,hello i come from the island of samoa and my village is ####### ####### and ####### ##### ##### #########,tp002
0,-,tp002
0,its a no brainer,tp002
0,-,tp002
0,-,tp002
0,-,tp002
4,####,tp002
4,tjbhbhbhbhb,tp002
0,save the currentworld,tp002
0,-,tp002
1,-,tp002
0,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
0,it should not cost more if done efficiently,tp002
1,-,tp002
0,cause its coo,tp002
1,i think its great,tp002
1,our oceans (and ocean life) affect everything on the planet including us.,tp002
0,-,tp002
1,-,tp002
1,-,tp002
0,good,tp002
0,-,tp002
0,-,tp002
0,-,tp002
0,That this idea would increase the percentage of snapper and many other frequently caught fish.Save NZfish,tp002
0,I think that it will be good in terms of keeping these speices alive. Save the fish of New Zealand.,tp002
4,becaues the world is over popuated and we should be more worried about the pollutions thats happening at our beaches,tp002
1,that if we over fish then there won be any fish left anyway,tp002
1,we have tostart taking care....,tp002
0,-,tp002
1,-,tp002
2,because somewhere they will always do it and i dont likefish,tp002
1,fhcfhfm,tp002
1,xdddr,tp002
0,excellent,tp002
0,-,tp002
0,its the right thing  to do,tp002
1,-,tp002
0,-,tp002
2,-,tp002
0,Living consciously is the only way to evolve in harmony with mother earth.,tp002
4,cbzczhghg,tp002
2,ur ###,tp002
2,-,tp002
0,its vital for all life on this beautiful planet,tp002
1,Necessity for the future of mankind.,tp002
1,its possible to suport sustanibilty and protect our living,tp002
0,-,tp002
0,better for everyone,tp002
0,it is time we do more for our environment,tp002
2,selling no fish at all would be more sustainable!,tp002
1,Overfishing has a huge negative impact on our oceans and the ecosystems within it.,tp002
1,its better for the inviroment,tp002
1,-,tp002
1,-,tp002
1,######,tp002
1,-,tp002
1,-,tp002
1,more fair,tp002
1,the only way to save the planet is by immediate radical actions like this,tp002
4,-,tp002
1,money is the single unifying factor for all. its the only way to make us aware.,tp002
1,-,tp002
0,-,tp002
4,"fish should not be killed eventhough it is labeled as ""sustainably caught"". This label does not change nor decrease overfishing.",tp002
0,-,tp002
4,cgcg,tp002
1,-,tp002
0,-,tp002
0,-,tp002
0,-,tp002
2,your ### hehe,tp002
2,your mum,tp002
0,gay,tp002
0,yourgay,tp002
0,yourgaysuck one,tp002
0,d sacATFVSGXVSDYGCVSDB,tp002
1,yeeeeeeeeeeeetttttttttttt,tp002
0,your ### go suck s ####,tp002
2,gffdcdcfdvfdg,tp002
2,#####,tp002
2,###,tp002
1,-,tp002
1,-,tp002
0,-,tp002
1,good,tp002
0,-,tp002
4,stop eatingfish and go vegan,tp002
4,leave the fish alone,tp002
1,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
0,-,tp002
0,cause its smart,tp002
1,-,tp002
1,-,tp002
1,-,tp002
1,people needto understand that fish is something special and valuable given by the nature and not an every day trash dish,tp002
3,Everyone should avoid plastic! THATS IS A WORLDWIDE PROPLEM AND  THE WORLD NEEDS AN ANSWER!,tp002
1,i  hope that we cn help prserve theoceans,tp002
1,Because our future matters,tp002
1,-,tp002
1,-,tp002
1,-,tp002
0,because it is about sustainability,tp002
1,sustainability,tp002
0,-,tp002
0,-,tp002
0,save the planet and protecting it too,tp002
1,-,tp002
0,-,tp002
0,-,tp002
1,-,tp002
0,-,tp002
0,-,tp002
0,-,tp002
0,because we need to encorage better practices,tp002
0,to protect our fish supplies,tp002
4,-,tp002
0,to  protect longterm supply,tp002
1,-,tp002
1,-,tp002
0,so that breeding stocks are not damage,tp002
0,fish are friends not food,tp002
1,sustainability means food for the fuure,tp002
1,-,tp002
1,-,tp002
1,its the way to go,tp002
1,Sustainability is vitally important and hopefully more people realise despite personal cost.,tp002
3,i'm worried we won't be able to implement the necessary changes before its too late. unfortunately sustainability is not yet the main criteria people use when buying fish. the price incensitive is still (and understandably) too strong.,tp002
0,sea life is important.,tp002
1,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
0,its the only responsible thing to do,tp002
0,the price of food should reflect its true cost,tp002
0,-,tp002
0,-,tp002
1,it would be nice to share with my kids the same nature that i got to grow up with. Or better! Part of that is having all the same fish life (and food). Without ethical fishing I dont think that will happen.,tp002
1,it's important that we do not substantially impact the ecosystems we draw from otherwise there may be no fish left to fish.  i am hopeful that corporations can realize this instead of minimizng costs and maximizing profits which is doubtful,tp002
1,-,tp002
1,world needs it,tp002
1,-,tp002
0,because our marine ecosystems are becoming depleted from excessive overharvesting for commercial purposes. so tbh; we dont have a choice.,tp002
3,-,tp002
1,-,tp002
3,-,tp002
0,good for the planet,tp002
0,Because the ecosystem will be thriving and in the future the new generation can still get kaimoana for their families,tp002
1,Because we will be able to leave some kai moana for the new generation to come. Withtoo many fish beibg taken out of the water there won't be any fish later on for many others to come.,tp002
0,fish populations are dwindling,tp002
0,-,tp002
2,cause I DONT CARE,tp002
2,-,tp002
0,#### ## ####,tp002
0,to preserve specie,tp002
0,before all are extinct and alternative to meat,tp002
0,-,tp002
1,-,tp002
0,why does it have to cost more? its shortterm thinking to only think about monetary cost when the long term cost is immense,tp002
2,## #### told me in a dream,tp002
1,-,tp002
1,-,tp002
1,would be good,tp002
1,A small cost to pay,tp002
1,-,tp002
0,-,tp002
0,-,tp002
1,-,tp002
0,happy,tp002
1,dont deplete numbers of fish,tp002
0,money means nothing if we cant sustain the health of our oceans,tp002
1,dont eat alot of fish but anything to save the planet,tp002
1,-,tp002
2,-,tp002
0,that fish are   importent to thecircle of life stoptaken fish out there home,tp002
4,####,tp002
1,-,tp002
0,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
0,it would be good  say,tp002
1,-,tp002
0,-,tp002
1,-,tp002
1,-,tp002
1,i think thisis theway we should goin every aspect of farming. less of it and pay more everythibg in moderation. look after the planet look after u.,tp002
1,-,tp002
2,ka pioioi,tp002
2,-,tp002
1,-,tp002
0,mother earth is getting tired,tp002
0,it is crtcal for species to survive,tp002
0,-,tp002
0,-,tp002
1,essential for our survival,tp002
2,-,tp002
4,-,tp002
0,We have to ensure future generations will be able to enjoy this resource also.,tp002
0,-,tp002
1,-,tp002
0,it could help the earth  survive longer,tp002
0,sstainability is the only way to the future,tp002
2,-,tp002
0,-,tp002
0,fish tastes gross makes me wanna puke,tp002
2,dont like fish,tp002
0,-,tp002
1,i think its important fish is not overcaught but also it needs to be accessible for any to buy,tp002
1,-,tp002
1,-,tp002
0,-,tp002
0,-,tp002
0,prettygood eh,tp002
1,i think this is a course ofaction that could really help our delicate marine ecosystems. we need to act now!,tp002
1,-,tp002
0,If its not sustainable we are at risk of causing extinction to mre species,tp002
0,-,tp002
0,-,tp002
1,-,tp002
1,-,tp002
0,he ruru is excited,tp002
1,so dolphins dont get caught,tp002
0,because we shuld not be eating non sastainable fish that is not eatable,tp002
1,because it feels so much better buyingsomething you know is sustainable,tp002
1,we need to save our oceans,tp002
1,It could be good,tp002
1,-,tp002
0,THAT WE SHOULD BE LOOKING AFTER OUR PLANET,tp002
0,Im happy to pay morefor sustainable fish to protect the environment. Supermarkets can afford it.,tp002
0,takes the pressure away from consumer choice toact sustainaby,tp002
0,id ratherpay more for fish and be able to see them n  the wild,tp002
1,yes,tp002
0,-,tp002
1,SUSTAINABILITY is HYPE,tp002
1,it will cost morebut normalising thesethoughts will help people be aware of sustainabiliy constantly.,tp002
0,-,tp002
1,-,tp002
1,-,tp002
1,sustainable is always good,tp002
0,that we need to conserve,tp002
0,-,tp002
1,optiimst,tp002
0,if we want to thrive as humans we need to live sustainablyand within the means of our planet,tp002
2,fish is gross,tp002
3,because it would never happen in mylifetime,tp002
2,fish tastes gross,tp002
0,fuck,tp002
4,####,tp002
1,##,tp002
4,dicc to big,tp002
0,we need to preserve the worlds resources for the future of humanity,tp002
0,-,tp002
1,-,tp002
0,-,tp002
1,-,tp002
2,im a ####### tree,tp002
1,-,tp002
1,-,tp002
0,then most of fish will be happy.,tp002
1,everyobe should b e able to buy fish,tp002
2,ok boomer,tp002
1,deez nuts,tp002
0,hbgfccnhhgchvhjmnvhjszdvhjsdcvvhjmvjscdchgghcjcfjgfjxjycgjhgxhjgsdDDJVKBUBCFSVGJFSCVBUCVGUBECFUIBEFWVCGVYCGVBFCRVYGVUBYVGUBYCXXFRECVGUBYVGBJVGBBREFXCGBVFEXRVBGVGBGVBFRZBVCETYGVBGUFCGYUEVXBYGYUBUGEXDUNGBZVBCBNUVNGYUREFERFYGUNNUBYGNFCEBUNFECBGNCYUUFCYUBNNCFERFECYGBUXRFYGUREFYBGUFCVYGBUVBGUUBGGBUSYGUIE SGJBFDKJBVHFDHBKBCUVUGBF CVYGBGVYFCWCYVBUGWGYUCW RFZRCFGVYBUGYBVURFWFZVBYVYBVGYBFRECZTRFWVXZVUBWXZGUBBFRX,tp002
1,-,tp002
0,-,tp002
1,becauseif it works it would begod,tp002
0,we need to be more aware of how our food is getting to our plates. itwould make people more involved in their choices,tp002
0,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
1,i do not eat fish,tp002
1,Because we can all start being accountable for making theplanet a better place!,tp002
0,-,tp002
0,dsg,tp002
1,-,tp002
2,-,tp002
0,unless we change tgere will be nofsih in futur,tp002
1,-,tp002
0,Help the fish communities recover from over fishing,tp002
2,I don't eat fish.,tp002
0,-,tp002
0,-,tp002
1,-,tp002
0,-,tp002
1,-,tp002
0,-,tp002
0,i think that mabe this will save our enviroment and we will  discover newspeicies,tp002
1,fish are friends not food,tp002
1,they should even with incresed costs as it wouldsave money in the long run,tp002
1,farmed fish taste lik boty,tp002
1,i think i'd rather pay lil bit of extra money to help the environment,tp002
0,farmed fish dont even taste that gucci,tp002
1,Selling anything these days thats not sustainable is silly. we need to think about the planet,tp002
0,-,tp002
0,-,tp002
0,-,tp002
0,-,tp002
0,sustainable catches of fish are important not only to future proof our fisheries but also o balance comercial recreational bd ecological populations of fish,tp002
0,stimulate responsible behaviour,tp002
1,better for environment but may not be possible and cost efficient,tp002
1,it may helps,tp002
1,protects biodiversity,tp002
0,important to care about our environment and future generations,tp002
1,-,tp002
0,we will have cleaner waters / better knowledge and education around sustainability and responsiblef arming which can knock on to other farming sectors e.g. meat and dairy,tp002
1,-,tp002
1,-,tp002
0,-,tp002
2,i dont buy fish,tp002
4,###,tp002
4,r ### and r mum,tp002
0,### ### ###,tp002
0,-,tp002
0,-,tp002
1,good ide,tp002
4,I think that all types of fishing is bad as most of the pollution in the ocean is discarded fishing gear!!,tp002
0,to see positive change,tp002
1,-,tp002
0,-,tp002
2,just dont care,tp002
0,poop,tp002
1,-,tp002
0,cause the fish must be free,tp002
1,sustainable...more like sustaina-yes please,tp002
0,obviously,tp002
1,probably because that's the sensible optionals dont increae the prices because it will increase popularity in the market reducing financial loss. fucking dweeb.,tp002
0,-,tp002
3,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
2,-,tp002
1,fish are finite,tp002
1,money does not come first. sustainability is priority number one. no matter the cost.,tp002
0,"It may cost more money; but money isn't the currency we should think of when we talk about our planet and its resources. Putting species in danger becuse of unsustainable actions is a price I rather not pay. Nothig can possibly ""cost more"" than that.",tp002
0,-,tp002
0,it is a good start for a better and sustainable future,tp002
0,-,tp002
0,-,tp002
1,-,tp002
1,-,tp002
0,the price mechanism of free markets do not account for negative externalities. this asks government intervention. such as regulation and taxation.,tp002
1,-,tp002
1,just becaus,tp002
0,-,tp002
4,vbbBvhhhzhzgsgsssswsjjssjjjjjin,tp002
1,-,tp002
0,-,tp002
1,-,tp002
1,i beleive IN GOD,tp002
0,better for everyone,tp002
1,i think we need to take greater resonsibility for our environmental impact,tp002
1,I think it will take time but happen eventually. Will it happen soon enough?,tp002
1,-,tp002
0,-,tp002
4,it is not economicly viable. plus the prices on fish is already through the roof.,tp002
0,NO FISH WOULD BE HURT NEITHER THE BOTTOM OF THE SEA. LESS BYCATCH.,tp002
0,-,tp002
1,preserving our fish stocks so that we will have food to last us,tp002
1,-,tp002
4,poor people cant afford should be government subsidesed,tp002
4,fish should be eradicated they are asty,tp002
0,If we just fish indiscriminantly there won't be anything left for the future. Nature is the foundation of everything economic - me maumahara ttou...,tp002
1,-,tp002
1,-,tp002
0,yes,tp002
0,-,tp002
0,-,tp002
1,-,tp002
1,itis good,tp002
0,-,tp002
3,that fish ate ####### ####,tp002
0,fish ate ###### ####,tp002
1,yaaaaaaay,tp002
1,we need to preserve our fisheries,tp002
0,i lov e the environment ANDfish !,tp002
0,so that generations to comecan also buy fish in supermarkets,tp002
1,-,tp002
3,#######,tp002
1,-,tp002
0,itmeans we are valuing more than just the dollar,tp002
1,that it is brilliant,tp002
3,colognisers will use this as a money scheme,tp002
0,our oceans ne ur help. wouldbe good if we did notdo any fishing in our oceans,tp002
0,-,tp002
0,-,tp002
0,###boxfinesunsine box weather f,tp002
0,anaheara     nfdd,tp002
1,gfurfehfge,tp002
1,-,tp002
1,-,tp002
0,it simportsnt for sustainability,tp002
0,-,tp002
2,cdfhn GFBGFHBGGHN,tp002
0,BECAUSE WE NEED TO PRESERVE OUR OCEANS; BEING THE WORLDS MAJOR CARBON PROCESSOR.,tp002
0,-,tp002
1,a step towards living in balance with nature,tp002
1,-,tp002
4,all supermarkets should be closed,tp002
0,if theydisappear we would be without them,tp002
1,-,tp002
3,-,tp002
1,-,tp002
1,it gives hope for the future of these animals,tp002
1,-,tp002
1,-,tp002
1,it will make unsustainable fishing an unprofitable pursuit and force positive change,tp002
1,overfishing is decimating our ocean ecosystems to the point    of no return. action must be taken and supermarkets are giants in the western world and would allow for more widespread involvement. fish should not be taken for granted,tp002
0,-,tp002
0,-,tp002
0,smart move for earth,tp002
0,we need to look after our resources for future generations,tp002
1,that pople will realize the damage they'g,tp002
1,ITS A GOOD IDEA,tp002
1,i think itd a goodidea because weetake ourfresh water orgrabted. one dayit could be gone,tp002
4,-,tp002
1,-,tp002
0,-,tp002
1,-,tp002
1,-,tp002
0,good for the earth,tp002
1,-,tp002
1,-,tp002
0,its the only sustainable way forward,tp002
0,Prevents the extincion of precious species for our own selfish gain. Humans can be better than this. We need to protect... not destroy,tp002
0,-,tp002
0,it will protect the enviroment and promote biodiversity if done well,tp002
0,it will encourage fisheries to act responsibily if the want to continue to profit,tp002
0,-,tp002
1,-,tp002
1,we should be willing toinvest in sustainable food and take care of the little future we got left as good as we can.,tp002
0,fisheries contribute greatly to marine habitat degredation,tp002
0,animals are friends,tp002
0,-,tp002
1,It is a good first step,tp002
0,-,tp002
1,-,tp002
1,-,tp002
0,fis arehealthy form of meat,tp002
0,beacause i am,tp002
2,because i dont like fish,tp002
1,-,tp002
1,our world is an amazing place and together with care we can keep it that way,tp002
1,-,tp002
1,-,tp002
2,who gives a ####,tp002
0,-,tp002
4,-,tp002
0,-,tp002
0,it is the best option for the future of our oceans and planet,tp002
1,-,tp002
2,-,tp002
1,So we will still have beautiful underwater ecosystems in the future,tp002
1,it will help with climate change,tp002
1,that there is an increasing ground swell among ordinary people  to bring change for the good of the environment.,tp002
0,-,tp002
0,hei oranga moo taatou katoa,tp002
1,good,tp002
0,-,tp002
0,-,tp002
0,-,tp002
0,cause supermarkets are a white mans bread and butter,tp002
0,-,tp002
0,this is a major stepforward,tp002
1,-,tp002
1,-,tp002
0,fish are friends,tp002
0,if we fail to plan for the future we fail our children,tp002
0,-,tp002
4,you can never catch sustainabe,tp002
0,-,tp002
1,-,tp002
1,-,tp002
0,kaitiakatanga,tp002
1,-,tp002
1,-,tp002
4,-,tp002
0,-,tp002
1,-,tp002
1,-,tp002
1,humanity will always find solutions,tp002
0,would b good,tp002
0,-,tp002
0,-,tp002
2,because,tp002
0,because i dot,tp002
1,-,tp002
3,-,tp002
0,because we can catch fish,tp002
0,becase,tp002
0,vhbddhjf,tp002
0,-,tp002
0,cos,tp002
0,-,tp002
0,-,tp002
1,supermarket chains have the most poer to make lare scal changes,tp002
4,-,tp002
2,my doctor is not cool,tp002
1,cause,tp002
0,-,tp002
1,itd be neat,tp002
1,because I hope we can still make the world a better place,tp002
1,love nature,tp002
4,#######,tp002
2,-,tp002
2,-,tp002
4,dunni,tp002
4,-,tp002
0,we all have a responsibility to care for our planet and live sustainaby,tp002
1,###,tp002
1,national is better than labour :####,tp002
1,-,tp002
1,dghjddjhhdhdkjhgregrjghj,tp002
0,leave the animals leave their life. be vegetarian,tp002
0,-,tp002
1,-,tp002
0,-,tp002
0,-,tp002
1,-,tp002
0,eating  fish,tp002
1,mitsubishi lencer ex,tp002
0,obvious it shuld be done. money is not the first priority yall wake up,tp002
1,-,tp002
4,-,tp002
1,-,tp002
4,JUST BECAUSE,tp002
1,-,tp002
1,-,tp002
0,we haveto listen to the scientists and look after our planet,tp002
0,nature is important,tp002
1,its the only real way to guarantee a future and long lasting suply. Its just logical really....,tp002
1,-,tp002
0,i think it would help our world to make a better for the next generation,tp002
1,TE PAPA is great,tp002
0,-,tp002
0,because,tp002
1,it wiukd be yum,tp002
1,-,tp002
1,the seais the lifeblood of the planet,tp002
1,to protect the enviroment things are improving slowly,tp002
1,-,tp002
0,-,tp002
0,-,tp002
0,it important,tp002
1,-,tp002
2,-,tp002
1,-,tp002
0,-,tp002
0,maintain thefish populatiob,tp002
0,-,tp002
0,because its saving the evorment,tp002
4,our lives depend on  biodiversity,tp002
1,-,tp002
0,we shouldnt over fish,tp002
1,-,tp002
0,-,tp002
1,better long term,tp002
3,WORRIED FOR THEFUTURE AND FLOW ON EFFECTSTO THE MARRIED ECOSYSTEM,tp002
1,-,tp002
0,i farted,tp002
0,i love #####,tp002
0,HELLO,tp002
0,-,tp002
1,-,tp002
3,-,tp002
0,######,tp002
2,because it is too much money for a fish,tp002
3,nooooooooooooooope,tp002
1,-,tp002
1,good,tp002
1,YES,tp002
1,-,tp002
0,it will lead a sustainable way,tp002
0,-,tp002
0,-,tp002
1,to allow our fishes to flourish,tp002
0,makes sense if you want to maintain sustainability,tp002
1,it takes people willing to particpate insomething long term,tp002
1,-,tp002
3,-,tp002
2,who gives a rats not me xx,tp002
4,nice good yes okay,tp002
1,GOOGLE HOWTO GET BUS,tp002
1,iikefish butlike sustabbikit,tp002
0,I have lots of money,tp002
0,kiwi,tp002
3,####,tp002
0,-,tp002
0,i think im butifll.,tp002
0,they will last forever,tp002
1,that we should stop thinking of resources suchas kaimoana as free.,tp002
0,-,tp002
1,its  a no brainer,tp002
0,-,tp002
3,-,tp002
2,i dont like fish,tp002
2,4_,tp002
1,animals are too preciousto be eaten.,tp002
1,Plant based revolution has started,tp002
0,-,tp002
0,-,tp002
2,-,tp002
2,yett,tp002
4,they shouldn't !!!!!!!,tp002
1,-,tp002
2,-,tp002
0,-,tp002
3,hggg,tp002
0,the world is going to end if we dont change,tp002
1,-,tp002
2,i was fixing acar and watching ######,tp002
1,that nemo will find his dad,tp002
3,-,tp002
1,that one day ####### will graduate design school and make new (COMMA) innovative ######. if you want some good art youll find him at ## ####### street ###### ########## if you dont know where ###### is,tp002
1,-,tp002
1,-,tp002
1,it probably wont go through the government,tp002
0,-,tp002
0,-,tp002
3,-,tp002
3,###### might not get married,tp002
3,####### is in ######,tp002
0,-,tp002
0,-,tp002
0,It will be better for the inviorment,tp002
4,i dont what to fish  everyfish,tp002
1,-,tp002
0,hello,tp002
0,hello,tp002
1,-,tp002
1,-,tp002
1,-,tp002
4,-,tp002
0,-,tp002
0,we will start to see many positive changes and improvements,tp002
1,-,tp002
0,-,tp002
0,-,tp002
1,-,tp002
0,i think that this could save the enviroment and new speicies will appear!,tp002
0,i think this is the  only way to stop overfishing and resulting problems,tp002
0,that it is important,tp002
1,because we only have one planetand we need to take care of it,tp002
0,willys,tp002
1,-,tp002
2,less government regulations the bettr,tp002
0,TO PREVENT THEM FROM BEING EXTINCT,tp002
1,youngr generartions are being advised and better educated on this. i hope.,tp002
0,-,tp002
1,-,tp002
1,that  in several yearsthe manhood will recognise that the have no other choice,tp002
0,-,tp002
1,so the generation Y get a sustainable future,tp002
0,the oceans will die if we dont change the market and creste new rules.,tp002
0,-,tp002
0,overfishing is an ecological catastrophe,tp002
1,-,tp002
1,-,tp002
1,more sustainable,tp002
1,-,tp002
0,-,tp002
1,-,tp002
0,hjhahdhjbh,tp002
3,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
1,to increase,tp002
1,-,tp002
1,to increase the growth of  other species and allow the opportunity ofindigenous species to flourish,tp002
0,-,tp002
1,-,tp002
0,-,tp002
1,-,tp002
0,-,tp002
1,-,tp002
0,to protect fish,tp002
0,that is cool,tp002
0,-,tp002
0,-,tp002
0,its cool as,tp002
0,sup,tp002
0,i am lazy,tp002
0,Its better for the environment,tp002
0,they should have done this ages ago planet before people,tp002
0,I want my childrens childrens children to enjoy the same beautiful diverse and rich world that I do. Even if I have to pay formore or eat less fish.,tp002
0,sustainable fishing means we protect our natural ressources,tp002
0,moe fish for the environment,tp002
1,-,tp002
3,-,tp002
1,-,tp002
0,-,tp002
0,cause i love fish,tp002
1,###,tp002
1,Even though it is beneficial for environment the increase of costs will traduce onto higher prices that may affect negatively for population of lower income.,tp002
1,-,tp002
0,becaus that means there wont be as much over fshing,tp002
0,-,tp002
1,-,tp002
1,its the right thing to do,tp002
0,-,tp002
1,-,tp002
1,-,tp002
0,ki te tunu te ika toituu ka reka ka whangaai i te tiinana. ki te kore ka mate haere te hunga kaihoko,tp002
0,-,tp002
0,-,tp002
0,Its necessary for fish stocks to recover,tp002
3,-,tp002
4,-,tp002
4,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
2,-,tp002
0,-,tp002
0,its good for the fish,tp002
1,It will transitionus toa sustainable future,tp002
1,-,tp002
0,i am happy,tp002
0,-,tp002
1,the next year will be beter,tp002
0,-,tp002
0,it ebcourages sustaibability,tp002
0,maintaining sustainable fish stocks is vital for thehealth of our oceans and have fishing available forgenerations to coe,tp002
0,because conservation is mr imortant than saving a few dollars on fish,tp002
1,-,tp002
1,-,tp002
3,it shoud cost less money,tp002
4,###,tp002
4,well they are hard to find things thatu whant tofind,tp002
0,well  i am very excited to see whats next !,tp002
1,-,tp002
1,-,tp002
0,-,tp002
1,it is a goodstep towards saving our future,tp002
3,taking more fish  from the sea even if it cost more is bad. sooner or later we wont have fish.,tp002
0,to preserve species,tp002
1,that if we did this it would help save our oceans and sea life,tp002
1,we are thinking more about how our choices impact the planet,tp002
0,-,tp002
1,because how much people catch #####can be recorded.,tp002
4,-,tp002
0,-,tp002
2,no good,tp002
1,exticntion duh,tp002
4,-,tp002
0,-,tp002
1,yes without fish we could loose a big part of what makes New Zealand such awesome place to live,tp002
1,sustainable fishing practices is beneficial for the marine cosystem and is a good business model,tp002
0,-,tp002
1,this shuld be standard,tp002
1,-,tp002
0,-,tp002
4,i am cheap asfi dont wanna pay more for fish,tp002
0,-,tp002
2,hopeful,tp002
1,-,tp002
0,its good,tp002
0,it's awsome,tp002
1,how dowe make sure it is sustainablly caught?,tp002
0,i love mummy love ####,tp002
1,i  love ###### LOVE FROM ####,tp002
0,i love  #### love  from  ######,tp002
3,its bad,tp002
1,-,tp002
1,because marine biodiversity is already sriously tgreatened by actvity,tp002
0,it's important! we gotta take care of the environment!,tp002
1,-,tp002
0,needed,tp002
4,nothing,tp002
1,-,tp002
0,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
1,good,tp002
0,-,tp002
1,-,tp002
1,-,tp002
0,-,tp002
1,great yes. people still by cigarettes even thiugh theres a price increase so why not for fish hen it supportibg the environmnt. thr wouldhave to be a measure/thoughts on how not to exclude certain demographics in accessing fish,tp002
3,-,tp002
3,it hurts the fish and shark,tp002
2,xghjliutfmj,tp002
4,ffnnvc,tp002
2,dhdjskzhxfkdnshshajkkjdifplhooooooooo,tp002
4,jvhxbvjzhhkhfkhzskffgjddkskgggkwjjrghihuwqwkjbgbbnbvbvmjslwwpqsbsddjaegkdjfhgthjjhgjhbbggjkdbgbdeRKFHGJCFBKBVHLDgkljdhgxkg,tp002
0,gdsdjmdgfjsKGGDHHFKEFSEKSHRFHKRGUIHRKGT,tp002
1,-,tp002
0,we need to protect what we have now,tp002
1,-,tp002
0,-,tp002
2,ihave small #####,tp002
0,worth it,tp002
3,we must protect the fish in the seas by not over fishing,tp002
3,-,tp002
1,-,tp002
0,-,tp002
0,-,tp002
1,-,tp002
1,good,tp002
3,we should all stop eating fish in order to keep our ocean alive.,tp002
1,-,tp002
1,-,tp002
0,-,tp002
0,-,tp002
0,-,tp002
2,##### #####,tp002
0,-,tp002
0,-,tp002
1,it will take a while for some people to accept and get into action. however i am hopeful that as a nation we can make the change to a sustainable future,tp002
1,because it is much btter for the environment,tp002
1,because it will make fish supply more sustainable,tp002
0,because i am,tp002
4,zrdfsjbhdfhjsvsjfbdhkvdvghuiuifssgfsghcgfddchjggvghj,tp002
0,we need our fish,tp002
0,-,tp002
1,hope,tp002
1,I LOVE THE CULTURE,tp002
0,im a really big fan  of seafood esecially sushi,tp002
2,my name is ##### ########,tp002
2,-,tp002
1,i like #####,tp002
0,modern technology like radars nd nets give fish no chance!,tp002
0,-,tp002
2,i dont know what this means?,tp002
1,to helpthe future,tp002
0,to help the sea,tp002
2,beacase i don t eat fish,tp002
0,beeeeeeeeaaaaaaacccccccccssssssseeee,tp002
0,this should b implemented in order to save the future. sustaiability is key to our species survival,tp002
3,not realleyworried,tp002
1,-,tp002
0,because we need to stop overfishing and regulate commercial fishing to protect the ocean and its inhabitans,tp002
1,itwiukd make a bigdiference  to the environment,tp002
1,##,tp002
2,i  have know idea i dont really eatfish,tp002
0,this is great,tp002
4,-,tp002
2,-,tp002
4,its ### :(,tp002
1,itis good,tp002
1,-,tp002
0,this should help rise our fish numbers,tp002
0,because we really need to make a change in what we are doing.,tp002
1,this is a good idea.,tp002
0,ur dad,tp002
4,-,tp002
1,"""because today is a hopful day!!!!.""",tp002
0,it is the right thing to do,tp002
1,-,tp002
0,-,tp002
0,so we can feed demand without depleting natural stocks,tp002
0,this is awesome !!!!! :),tp002
1,it would improve health as well as reducing many risks and potentially emmisions.,tp002
0,-,tp002
4,-,tp002
0,-,tp002
0,-,tp002
0,-,tp002
0,-,tp002
1,-,tp002
0,-,tp002
1,-,tp002
1,rubyi think it is curulty to the animal anditshould bebandso reduesd fishing would better than nothing,tp002
3,there are a lot of words but little action,tp002
1,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
0,having respect for what we are consuming and encouraging both mindful and sustainable eating practices is never a bad thing,tp002
1,i wish everybody took just a minute longer to consider the origins of their food and the impact our decisions have on the environment and future generations,tp002
4,we arenot concernd nough as a people to change easy things like this,tp002
2,-,tp002
0,-,tp002
0,-,tp002
0,because wewill not drain our food resources,tp002
0,saveing the panet,tp002
0,time to stop net fishing whichkills everything,tp002
0,-,tp002
3,more people care about cost and profit rather than sustainability,tp002
0,-,tp002
0,-,tp002
1,good for our planet,tp002
1,it is good for the universe,tp002
1,love birds,tp002
1,i do not want my fish & chips to go extinct,tp002
0,good thing for the planet,tp002
0,its sensible,tp002
4,somme time you can be,tp002
0,I think thatitisgood althoughihope to not need to paythatmuch more,tp002
2,-,tp002
1,-,tp002
1,-,tp002
1,-,tp002
0,It removes the burden from consumers,tp002
0,-,tp002
0,-,tp002
0,tha ethically it is a good idea,tp002
0,i want fish left when im an adult!,tp002
0,i think we should only participate in sustainable practices for everything..,tp002
1,Because we need to look after our planet,tp002
4,i think that its a horrible idea,tp002
1,then we wont kill all the important sea creatures,tp002
0,We should be supporting our planet not stripping it bare,tp002
0,i like fish,tp002
